m,d,h,Qsolar [W},Qcond [W],Qnet [kW]
6,1,0,0,-59287.68,-59.28768
6,1,1,0,-66687.36,-66.68736
6,1,2,0,-73274.88,-73.27488
6,1,3,2982.432,-79681.92,-76.699488
6,1,4,7201.152,-79501.44,-72.300288
6,1,5,9154.848,-70748.16,-61.593312
6,1,6,34561.92,-60460.8,-25.89888
6,1,7,73996.8,-50353.92,23.64288
6,1,8,107241.216,-42412.8,64.828416
6,1,9,131296.944,-37088.64,94.208304
6,1,10,142475.424,-33027.84,109.447584
6,1,11,140772.144,-29688.96,111.083184
6,1,12,126676.656,-27072,99.604656
6,1,13,99546,-25447.68,74.09832
6,1,14,63984.672,-24725.76,39.258912
6,1,15,24281.328,-25267.2,-0.985872
6,1,16,13578.864,-28515.84,-14.936976
6,1,17,8640.48,-35013.12,-26.37264
6,1,18,410.592,-41329.92,-40.919328
6,1,19,0,-46744.32,-46.74432
6,1,20,0,-51527.04,-51.52704
6,1,21,0,-55678.08,-55.67808
6,1,22,0,-62626.56,-62.62656
6,1,23,0,-75530.88,-75.53088
6,2,0,0,-82569.6,-82.5696
6,2,1,0,-86901.12,-86.90112
6,2,2,0,-92225.28,-92.22528
6,2,3,514.368,-94932.48,-94.418112
6,2,4,8848.032,-92496,-83.647968
6,2,5,10391.136,-83291.52,-72.900384
6,2,6,34710.816,-72101.76,-37.390944
6,2,7,73292.928,-57843.84,15.449088
6,2,8,105585.312,-45029.76,60.555552
6,2,9,128154.336,-35915.52,92.238816
6,2,10,132603.168,-27793.92,104.809248
6,2,11,136088.688,-22379.52,113.709168
6,2,12,119604.096,-19582.08,100.022016
6,2,13,93813.504,-18228.48,75.585024
6,2,14,63271.776,-19852.8,43.418976
6,2,15,29948.4,-22199.04,7.74936
6,2,16,9978.288,-26891.52,-16.913232
6,2,17,8229.888,-30591.36,-22.361472
6,2,18,514.368,-40066.56,-39.552192
6,2,19,0,-49271.04,-49.27104
6,2,20,0,-59738.88,-59.73888
6,2,21,0,-69575.04,-69.57504
6,2,22,0,-82659.84,-82.65984
6,2,23,0,-91954.56,-91.95456
6,3,0,0,-100978.56,-100.97856
6,3,1,0,-100256.64,-100.25664
6,3,2,0,-95473.92,-95.47392
6,3,3,514.368,-90781.44,-90.267072
6,3,4,1748.4,-85547.52,-83.79912
6,3,5,8024.592,-83562.24,-75.537648
6,3,6,11340.912,-80494.08,-69.153168
6,3,7,33530.928,-67589.76,-34.058832
6,3,8,22278,-67048.32,-44.77032
6,3,9,32269.824,-63168,-30.898176
6,3,10,22952.544,-53692.8,-30.740256
6,3,11,61478.256,-45210.24,16.268016
6,3,12,81299.472,-40066.56,41.232912
6,3,13,88782.624,-32396.16,56.386464
6,3,14,52463.28,-30501.12,21.96216
6,3,15,23694.768,-31493.76,-7.798992
6,3,16,11625.168,-35464.32,-23.839152
6,3,17,8333.664,-39886.08,-31.552416
6,3,18,719.664,-49271.04,-48.551376
6,3,19,0,-56129.28,-56.12928
6,3,20,0,-69484.8,-69.4848
6,3,21,0,-78599.04,-78.59904
6,3,22,0,-85728,-85.728
6,3,23,0,-92225.28,-92.22528
6,4,0,0,-97008,-97.008
6,4,1,0,-99805.44,-99.80544
6,4,2,0,-94210.56,-94.21056
6,4,3,3600.576,-96286.08,-92.685504
6,4,4,7920.816,-95383.68,-87.462864
6,4,5,10492.656,-77064.96,-66.572304
6,4,6,34216.752,-59738.88,-25.522128
6,4,7,72302.544,-43946.88,28.355664
6,4,8,96123.648,-33388.8,62.734848
6,4,9,105531.168,-26711.04,78.820128
6,4,10,121990.944,-19221.12,102.769824
6,4,11,114135.552,-15972.48,98.163072
6,4,12,105991.392,-11009.28,94.982112
6,4,13,63923.76,-8121.6,55.80216
6,4,14,61496.304,-2346.24,59.150064
6,4,15,32536.032,-2436.48,30.099552
6,4,16,9053.328,-1714.56,7.338768
6,4,17,8848.032,-5233.92,3.614112
6,4,18,1337.808,-19852.8,-18.514992
6,4,19,0,-40156.8,-40.1568
6,4,20,0,-50534.4,-50.5344
6,4,21,0,-57031.68,-57.03168
6,4,22,0,-60280.32,-60.28032
6,4,23,0,-61633.92,-61.63392
6,5,0,0,-64250.88,-64.25088
6,5,1,0,-67409.28,-67.40928
6,5,2,0,-69123.84,-69.12384
6,5,3,514.368,-68221.44,-67.707072
6,5,4,4218.72,-60370.56,-56.15184
6,5,5,4834.608,-51075.84,-46.241232
6,5,6,34755.936,-36817.92,-2.061984
6,5,7,66294.816,-12001.92,54.292896
6,5,8,26598.24,812.16,27.4104
6,5,9,66477.552,7219.2,73.696752
6,5,10,29030.208,15070.08,44.100288
6,5,11,57577.632,16784.64,74.362272
6,5,12,10801.728,18318.72,29.120448
6,5,13,18093.12,-360.96,17.73216
6,5,14,10801.728,-21747.84,-10.946112
6,5,15,14176.704,-24274.56,-10.097856
6,5,16,8126.112,-24455.04,-16.328928
6,5,17,2571.84,-23552.64,-20.9808
6,5,18,309.072,-28064.64,-27.755568
6,5,19,0,-41781.12,-41.78112
6,5,20,0,-47105.28,-47.10528
6,5,21,0,-50895.36,-50.89536
6,5,22,0,-53061.12,-53.06112
6,5,23,0,-56760.96,-56.76096
6,6,0,0,-59197.44,-59.19744
6,6,1,0,-62265.6,-62.2656
6,6,2,0,-64972.8,-64.9728
6,6,3,3395.28,-65153.28,-61.758
6,6,4,6790.56,-60551.04,-53.76048
6,6,5,9463.92,-49632,-40.16808
6,6,6,32353.296,-35915.52,-3.562224
6,6,7,70008.192,-23281.92,46.726272
6,6,8,92098.944,-13355.52,78.743424
6,6,9,124391.328,-4151.04,120.240288
6,6,10,131653.392,5053.44,136.706832
6,6,11,117034.512,12633.6,129.668112
6,6,12,100737.168,25267.2,126.004368
6,6,13,67249.104,22199.04,89.448144
6,6,14,53652.192,23913.6,77.565792
6,6,15,26449.344,24816,51.265344
6,6,16,16254.48,25537.92,41.7924
6,6,17,8435.184,16694.4,25.129584
6,6,18,2366.544,4151.04,6.517584
6,6,19,0,-14438.4,-14.4384
6,6,20,0,-24364.8,-24.3648
6,6,21,0,-32666.88,-32.66688
6,6,22,0,-39344.64,-39.34464
6,6,23,0,-44939.52,-44.93952
6,7,0,0,-48729.6,-48.7296
6,7,1,0,-53422.08,-53.42208
6,7,2,0,-56760.96,-56.76096
6,7,3,3600.576,-57392.64,-53.792064
6,7,4,7406.448,-49000.32,-41.593872
6,7,5,14916.672,-27072,-12.155328
6,7,6,35606.448,-8482.56,27.123888
6,7,7,69238.896,-2526.72,66.712176
6,7,8,89651.184,15070.08,104.721264
6,7,9,110983.92,27162.24,138.14616
6,7,10,20387.472,38622.72,59.010192
6,7,11,118895.712,45571.2,164.466912
6,7,12,113580.576,50083.2,163.663776
6,7,13,90639.312,50263.68,140.902992
6,7,14,7291.392,55046.4,62.337792
6,7,15,22607.376,54595.2,77.202576
6,7,16,3496.8,47195.52,50.69232
6,7,17,1439.328,32666.88,34.106208
6,7,18,1234.032,25537.92,26.771952
6,7,19,0,11731.2,11.7312
6,7,20,0,2526.72,2.52672
6,7,21,0,-2977.92,-2.97792
6,7,22,0,-6858.24,-6.85824
6,7,23,0,-9926.4,-9.9264
6,8,0,0,-12092.16,-12.09216
6,8,1,0,-14257.92,-14.25792
6,8,2,0,-17596.8,-17.5968
6,8,3,514.368,-20845.44,-20.331072
6,8,4,3805.872,-16874.88,-13.069008
6,8,5,6583.008,-4512,2.071008
6,8,6,22460.736,10016.64,32.477376
6,8,7,68548.56,3790.08,72.33864
6,8,8,66806.928,13806.72,80.613648
6,8,9,36350.928,17326.08,53.677008
6,8,10,59562.912,8121.6,67.684512
6,8,11,69381.024,11640.96,81.021984
6,8,12,43159.536,7489.92,50.649456
6,8,13,55885.632,4241.28,60.126912
6,8,14,31967.52,-2165.76,29.80176
6,8,15,22607.376,-5414.4,17.192976
6,8,16,15740.112,-11731.2,4.008912
6,8,17,6790.56,-18048,-11.25744
6,8,18,309.072,-24364.8,-24.055728
6,8,19,0,-43224.96,-43.22496
6,8,20,0,-49902.72,-49.90272
6,8,21,0,-54595.2,-54.5952
6,8,22,0,-57392.64,-57.39264
6,8,23,0,-59738.88,-59.73888
6,9,0,0,-62807.04,-62.80704
6,9,1,0,-65153.28,-65.15328
6,9,2,0,-66145.92,-66.14592
6,9,3,514.368,-67138.56,-66.624192
6,9,4,1748.4,-67048.32,-65.29992
6,9,5,4834.608,-65514.24,-60.679632
6,9,6,11072.448,-62807.04,-51.734592
6,9,7,13772.88,-64792.32,-51.01944
6,9,8,34992.816,-60190.08,-25.197264
6,9,9,35809.488,-52429.44,-16.619952
6,9,10,58116.816,-44398.08,13.718736
6,9,11,45255.36,-31584,13.67136
6,9,12,40084.608,-20123.52,19.961088
6,9,13,10127.184,-12182.4,-2.055216
6,9,14,15392.688,-5955.84,9.436848
6,9,15,12556.896,-4060.8,8.496096
6,9,16,8538.96,-6858.24,1.68072
6,9,17,8435.184,-10287.36,-1.852176
6,9,18,1234.032,-16423.68,-15.189648
6,9,19,0,-31403.52,-31.40352
6,9,20,0,-34381.44,-34.38144
6,9,21,0,-36276.48,-36.27648
6,9,22,0,-37900.8,-37.9008
6,9,23,0,-40517.76,-40.51776
6,10,0,0,-42412.8,-42.4128
6,10,1,0,-43856.64,-43.85664
6,10,2,0,-46744.32,-46.74432
6,10,3,514.368,-47105.28,-46.590912
6,10,4,2468.064,-46473.6,-44.005536
6,10,5,11419.872,-42232.32,-30.812448
6,10,6,20387.472,-39073.92,-18.686448
6,10,7,22142.64,-38532.48,-16.38984
6,10,8,50649.456,-29508.48,21.140976
6,10,9,32134.464,-19311.36,12.823104
6,10,10,27949.584,-11099.52,16.850064
6,10,11,27814.224,-10016.64,17.797584
6,10,12,30379.296,-7399.68,22.979616
6,10,13,46972.176,0,46.972176
6,10,14,50448.672,9384.96,59.833632
6,10,15,27146.448,14438.4,41.584848
6,10,16,14298.528,14167.68,28.466208
6,10,17,2982.432,12272.64,15.255072
6,10,18,309.072,4963.2,5.272272
6,10,19,0,-13806.72,-13.80672
6,10,20,0,-17326.08,-17.32608
6,10,21,0,-20213.76,-20.21376
6,10,22,0,-21657.6,-21.6576
6,10,23,0,-24545.28,-24.54528
6,11,0,0,-26169.6,-26.1696
6,11,1,0,-27793.92,-27.79392
6,11,2,0,-28967.04,-28.96704
6,11,3,514.368,-30681.6,-30.167232
6,11,4,1748.4,-27072,-25.3236
6,11,5,4011.168,-15611.52,-11.600352
6,11,6,30257.472,-7580.16,22.677312
6,11,7,42938.448,-90.24,42.848208
6,11,8,56178.912,11731.2,67.910112
6,11,9,99661.056,18589.44,118.250496
6,11,10,101628.288,25176.96,126.805248
6,11,11,81737.136,32576.64,114.313776
6,11,12,105637.2,39615.36,145.25256
6,11,13,93087.072,46563.84,139.650912
6,11,14,60821.76,51075.84,111.8976
6,11,15,22095.264,52880.64,74.975904
6,11,16,13477.344,52429.44,65.906784
6,11,17,8126.112,44307.84,52.433952
6,11,18,823.44,30501.12,31.32456
6,11,19,0,19221.12,19.22112
6,11,20,0,7309.44,7.30944
6,11,21,0,902.4,0.9024
6,11,22,0,-7489.92,-7.48992
6,11,23,0,-13987.2,-13.9872
6,12,0,0,-17687.04,-17.68704
6,12,1,0,-21477.12,-21.47712
6,12,2,0,-24455.04,-24.45504
6,12,3,3600.576,-25808.64,-22.208064
6,12,4,10596.432,-16513.92,-5.917488
6,12,5,16665.072,1353.6,18.018672
6,12,6,38250.48,17867.52,56.118
6,12,7,65024.688,20213.76,85.238448
6,12,8,91992.912,35283.84,127.276752
6,12,9,123168.576,47015.04,170.183616
6,12,10,134902.032,61724.16,196.626192
6,12,11,133577.76,74989.44,208.5672
6,12,12,119924.448,84464.64,204.389088
6,12,13,94752,89247.36,183.99936
6,12,14,60975.168,92766.72,153.741888
6,12,15,23839.152,91954.56,115.793712
6,12,16,8744.256,77696.64,86.440896
6,12,17,7819.296,63168,70.987296
6,12,18,2675.616,51075.84,53.751456
6,12,19,0,46112.64,46.11264
6,12,20,0,37088.64,37.08864
6,12,21,0,28515.84,28.51584
6,12,22,0,20213.76,20.21376
6,12,23,0,13175.04,13.17504
6,13,0,0,6768,6.768
6,13,1,0,2075.52,2.07552
6,13,2,0,-2436.48,-2.43648
6,13,3,3704.352,-5233.92,-1.529568
6,13,4,9876.768,-541.44,9.335328
6,13,5,14298.528,10648.32,24.946848
6,13,6,33203.808,24003.84,57.207648
6,13,7,67463.424,36456.96,103.920384
6,13,8,98305.2,49090.56,147.39576
6,13,9,119840.976,59016.96,178.857936
6,13,10,125905.104,61904.64,187.809744
6,13,11,129814.752,64792.32,194.607072
6,13,12,112186.368,41961.6,154.147968
6,13,13,85960.368,44939.52,130.899888
6,13,14,58725.936,53873.28,112.599216
6,13,15,30902.688,49812.48,80.715168
6,13,16,10596.432,41871.36,52.467792
6,13,17,6377.712,36817.92,43.195632
6,13,18,1646.88,27432.96,29.07984
6,13,19,0,17867.52,17.86752
6,13,20,0,10919.04,10.91904
6,13,21,0,1804.8,1.8048
6,13,22,0,-8211.84,-8.21184
6,13,23,0,-17777.28,-17.77728
6,14,0,0,-26350.08,-26.35008
6,14,1,0,-33208.32,-33.20832
6,14,2,0,-37449.6,-37.4496
6,14,3,618.144,-40066.56,-39.448416
6,14,4,1852.176,-35283.84,-33.431664
6,14,5,4938.384,-31764.48,-26.826096
6,14,6,11611.632,-29959.68,-18.348048
6,14,7,49368.048,-19040.64,30.327408
6,14,8,66459.504,-12272.64,54.186864
6,14,9,57579.888,-6136.32,51.443568
6,14,10,44894.4,-2075.52,42.81888
6,14,11,66351.216,4692.48,71.043696
6,14,12,56025.504,5955.84,61.981344
6,14,13,25249.152,7670.4,32.919552
6,14,14,52724.976,5685.12,58.410096
6,14,15,25928.208,1082.88,27.011088
6,14,16,16870.368,-5053.44,11.816928
6,14,17,8744.256,-10197.12,-1.452864
6,14,18,2571.84,-17687.04,-15.1152
6,14,19,0,-23462.4,-23.4624
6,14,20,0,-28696.32,-28.69632
6,14,21,0,-34471.68,-34.47168
6,14,22,0,-44939.52,-44.93952
6,14,23,0,-54685.44,-54.68544
6,15,0,0,-65514.24,-65.51424
6,15,1,0,-72462.72,-72.46272
6,15,2,0,-77786.88,-77.78688
6,15,3,3395.28,-76613.76,-73.21848
6,15,4,8229.888,-64882.56,-56.652672
6,15,5,12755.424,-41329.92,-28.574496
6,15,6,38155.728,-29959.68,8.196048
6,15,7,65924.832,-24545.28,41.379552
6,15,8,94761.024,-16694.4,78.066624
6,15,9,104667.12,-12543.36,92.12376
6,15,10,98537.568,-4692.48,93.845088
6,15,11,74522.448,631.68,75.154128
6,15,12,57106.128,3068.16,60.174288
6,15,13,78991.584,4512,83.503584
6,15,14,50960.784,5143.68,56.104464
6,15,15,34347.6,6587.52,40.93512
6,15,16,8848.032,4241.28,13.089312
6,15,17,8229.888,992.64,9.222528
6,15,18,2880.912,-6407.04,-3.526128
6,15,19,0,-17326.08,-17.32608
6,15,20,0,-31493.76,-31.49376
6,15,21,0,-40066.56,-40.06656
6,15,22,0,-48097.92,-48.09792
6,15,23,0,-51797.76,-51.79776
6,16,0,0,-57934.08,-57.93408
6,16,1,0,-62085.12,-62.08512
6,16,2,0,-66958.08,-66.95808
6,16,3,823.44,-67589.76,-66.76632
6,16,4,10183.584,-55497.6,-45.314016
6,16,5,16870.368,-39073.92,-22.203552
6,16,6,32827.056,-26530.56,6.296496
6,16,7,47818.176,-6858.24,40.959936
6,16,8,48411.504,-90.24,48.321264
6,16,9,87304.944,6587.52,93.892464
6,16,10,58656,12182.4,70.8384
6,16,11,62637.84,15160.32,77.79816
6,16,12,66574.56,18408.96,84.98352
6,16,13,82028.16,22650.24,104.6784
6,16,14,61227.84,22018.56,83.2464
6,16,15,26636.592,26891.52,53.528112
6,16,16,15841.632,24816,40.657632
6,16,17,9258.624,18408.96,27.667584
6,16,18,2982.432,8121.6,11.104032
6,16,19,0,6316.8,6.3168
6,16,20,0,721.92,0.72192
6,16,21,0,-2075.52,-2.07552
6,16,22,0,-6677.76,-6.67776
6,16,23,0,-14167.68,-14.16768
6,17,0,0,-21386.88,-21.38688
6,17,1,0,-27974.4,-27.9744
6,17,2,0,-32486.4,-32.4864
6,17,3,3496.8,-34020.48,-30.52368
6,17,4,1748.4,-28696.32,-26.94792
6,17,5,5039.904,-13806.72,-8.766816
6,17,6,36682.56,2977.92,39.66048
6,17,7,57216.672,4151.04,61.367712
6,17,8,96726,14077.44,110.80344
6,17,9,120247.056,26169.6,146.416656
6,17,10,129471.84,42142.08,171.61392
6,17,11,84753.408,52068.48,136.821888
6,17,12,35263.536,56309.76,91.573296
6,17,13,10262.544,52429.44,62.691984
6,17,14,38480.592,23191.68,61.672272
6,17,15,34203.216,14889.6,49.092816
6,17,16,8229.888,11911.68,20.141568
6,17,17,6481.488,7670.4,14.151888
6,17,18,2982.432,3790.08,6.772512
6,17,19,0,-2616.96,-2.61696
6,17,20,0,-5775.36,-5.77536
6,17,21,0,-9204.48,-9.20448
6,17,22,0,-12994.56,-12.99456
6,17,23,0,-16694.4,-16.6944
6,18,0,0,-20755.2,-20.7552
6,18,1,0,-23823.36,-23.82336
6,18,2,0,-26079.36,-26.07936
6,18,3,514.368,-28154.88,-27.640512
6,18,4,1748.4,-20304,-18.5556
6,18,5,16563.552,-4241.28,12.322272
6,18,6,27159.984,5414.4,32.574384
6,18,7,66075.984,16784.64,82.860624
6,18,8,96301.872,25537.92,121.839792
6,18,9,10127.184,36817.92,46.945104
6,18,10,22142.64,45480.96,67.6236
6,18,11,19309.104,51166.08,70.475184
6,18,12,25113.792,55678.08,80.791872
6,18,13,75747.456,40156.8,115.904256
6,18,14,14312.064,45571.2,59.883264
6,18,15,22372.752,34471.68,56.844432
6,18,16,9154.848,21477.12,30.631968
6,18,17,9463.92,19582.08,29.046
6,18,18,2468.064,15701.76,18.169824
6,18,19,0,12182.4,12.1824
6,18,20,0,2436.48,2.43648
6,18,21,0,-5955.84,-5.95584
6,18,22,0,-13716.48,-13.71648
6,18,23,0,-17596.8,-17.5968
6,19,0,0,-20213.76,-20.21376
6,19,1,0,-24003.84,-24.00384
6,19,2,0,-25537.92,-25.53792
6,19,3,3704.352,-26259.84,-22.555488
6,19,4,10391.136,-18138.24,-7.747104
6,19,5,12035.76,-2165.76,9.87
6,19,6,30853.056,10197.12,41.050176
6,19,7,65687.952,17867.52,83.555472
6,19,8,96920.016,27252.48,124.172496
6,19,9,118751.328,35915.52,154.666848
6,19,10,121183.296,42142.08,163.325376
6,19,11,103766.976,44759.04,148.526016
6,19,12,58741.728,42232.32,100.974048
6,19,13,90907.776,47646.72,138.554496
6,19,14,17418.576,46112.64,63.531216
6,19,15,31534.368,45661.44,77.195808
6,19,16,4629.312,33298.56,37.927872
6,19,17,3496.8,21928.32,25.42512
6,19,18,2262.768,10287.36,12.550128
6,19,19,0,1985.28,1.98528
6,19,20,0,-5865.6,-5.8656
6,19,21,0,-8753.28,-8.75328
6,19,22,0,-18589.44,-18.58944
6,19,23,0,-19943.04,-19.94304
6,20,0,0,-23281.92,-23.28192
6,20,1,0,-27613.44,-27.61344
6,20,2,0,-30140.16,-30.14016
6,20,3,514.368,-29959.68,-29.445312
6,20,4,1748.4,-19491.84,-17.74344
6,20,5,17179.44,-10648.32,6.53112
6,20,6,19983.648,-631.68,19.351968
6,20,7,49801.2,-1353.6,48.4476
6,20,8,50805.12,5324.16,56.12928
6,20,9,39915.408,11370.24,51.285648
6,20,10,85838.544,22289.28,108.127824
6,20,11,69771.312,26981.76,96.753072
6,20,12,82759.104,34561.92,117.321024
6,20,13,51407.472,35283.84,86.691312
6,20,14,48003.168,22018.56,70.021728
6,20,15,26027.472,17416.32,43.443792
6,20,16,7510.224,16874.88,24.385104
6,20,17,3395.28,16874.88,20.27016
6,20,18,2571.84,13536,16.10784
6,20,19,0,4151.04,4.15104
6,20,20,0,-2526.72,-2.52672
6,20,21,0,-6948.48,-6.94848
6,20,22,0,-13716.48,-13.71648
6,20,23,0,-19762.56,-19.76256
6,21,0,0,-22920.96,-22.92096
6,21,1,0,-25176.96,-25.17696
6,21,2,0,-27523.2,-27.5232
6,21,3,514.368,-27884.16,-27.369792
6,21,4,1748.4,-19491.84,-17.74344
6,21,5,4424.016,-6768,-2.343984
6,21,6,10262.544,5865.6,16.128144
6,21,7,13502.16,7941.12,21.44328
6,21,8,82344,17055.36,99.39936
6,21,9,99277.536,31403.52,130.681056
6,21,10,129945.6,41059.2,171.0048
6,21,11,23358.624,43676.16,67.034784
6,21,12,10937.088,48278.4,59.215488
6,21,13,10937.088,49541.76,60.478848
6,21,14,33104.544,48458.88,81.563424
6,21,15,21768.144,36186.24,57.954384
6,21,16,3909.648,12814.08,16.723728
6,21,17,9362.4,8843.52,18.20592
6,21,18,2880.912,2887.68,5.768592
6,21,19,0,2707.2,2.7072
6,21,20,0,-90.24,-0.09024
6,21,21,0,-3880.32,-3.88032
6,21,22,0,-5685.12,-5.68512
6,21,23,0,-6226.56,-6.22656
6,22,0,0,-7309.44,-7.30944
6,22,1,0,-9745.92,-9.74592
6,22,2,0,-11280,-11.28
6,22,3,514.368,-10919.04,-10.404672
6,22,4,7406.448,-7399.68,0.006768
6,22,5,10492.656,-2346.24,8.146416
6,22,6,30153.696,1804.8,31.958496
6,22,7,41652.528,0,41.652528
6,22,8,38252.736,7670.4,45.923136
6,22,9,40215.456,11640.96,51.856416
6,22,10,39091.968,17687.04,56.779008
6,22,11,60422.448,22650.24,83.072688
6,22,12,27814.224,23372.16,51.186384
6,22,13,14041.344,25447.68,39.489024
6,22,14,11476.272,16604.16,28.080432
6,22,15,9991.824,1353.6,11.345424
6,22,16,2880.912,-3429.12,-0.548208
6,22,17,9362.4,-3609.6,5.7528
6,22,18,410.592,-2887.68,-2.477088
6,22,19,0,-13084.8,-13.0848
6,22,20,0,-17326.08,-17.32608
6,22,21,0,-21025.92,-21.02592
6,22,22,0,-25989.12,-25.98912
6,22,23,0,-31764.48,-31.76448
6,23,0,0,-36637.44,-36.63744
6,23,1,0,-39795.84,-39.79584
6,23,2,0,-41059.2,-41.0592
6,23,3,3395.28,-41871.36,-38.47608
6,23,4,4525.536,-41329.92,-36.804384
6,23,5,18106.656,-39976.32,-21.869664
6,23,6,37005.168,-33840,3.165168
6,23,7,60851.088,-22740.48,38.110608
6,23,8,81001.68,-12182.4,68.81928
6,23,9,100019.76,-5414.4,94.60536
6,23,10,68983.968,1173.12,70.157088
6,23,11,94950.528,7219.2,102.169728
6,23,12,87573.408,7038.72,94.612128
6,23,13,65827.824,5233.92,71.061744
6,23,14,61112.784,3068.16,64.180944
6,23,15,31168.896,-3429.12,27.739776
6,23,16,16563.552,-10016.64,6.546912
6,23,17,8640.48,-16423.68,-7.7832
6,23,18,618.144,-22379.52,-21.761376
6,23,19,0,-27072,-27.072
